InitHand                           , InitSkat  , FinalHand                          , SkatCards , ISkFull,       JacksMask,  CntJ,  Aces,  Tens, Att10, Blk10, MxLen,   TKS,   PostJacksMask, PCntJ, PAces, PTens, PAtt10, PBlk10, PMxLen,  PTKS, PSkFull, SkPts,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds, ProbNull, WonMask ,  MaxProb,  BestGame,   DurationMs
[SJ CK SA ST HA HT H8 H7 DT DQ]    , [DJ H9]   , [SJ DJ HA HT H9 H8 H7 SA ST DT]    , [CK DQ]   ,       0,               S,     1,     2,     3,     2,     0,     4,     0,              SD,     2,     2,     3,      2,      1,      5,     0,       0,     7,   1.0000,     0.7500,     0.0000,     0.0000,      1.0000,        0.2000,   0.0000, G--H--  ,   1.0000,    Hearts,     14558.43
[SJ HJ CT CK ST SK DA DT DK DQ]    , [C8 C7]   , [SJ HJ CT CK C8 C7 DA DT DK DQ]    , [ST SK]   ,       0,              SH,     2,     1,     3,     1,     0,     4,     0,              SH,     2,     1,     2,      1,      0,      4,     1,       1,    14,   1.0000,     0.0000,     1.0000,     0.0000,      0.0000,        0.7000,   0.0000, -C--D-  ,   1.0000,     Clubs,     16342.20
[SJ HJ CT C8 SA S9 S7 HT DQ D8]    , [CA DK]   , [SJ HJ DK DQ D8 CA CT C8 SA S9]    , [S7 HT]   ,       1,              SH,     2,     1,     2,     0,     1,     3,     0,              SH,     2,     2,     1,      1,      0,      3,     0,       1,    10,   0.7000,     0.0500,     0.0500,     0.0500,      0.0500,        0.7000,   0.0000, ----D-  ,   0.7000,  Diamonds,     14498.22
[CQ ST SK S7 HA H9 H7 DA D9 D7]    , [C7 S8]   , [CQ C7 SK ST S8 S7 H9 H7 D9 D7]    , [HA DA]   ,       0,               -,     0,     2,     1,     0,     0,     3,     1,               -,     0,     0,     1,      0,      0,      4,     1,       2,    22,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13374.23
[SJ C9 C8 C7 S9 HT H8 DT D9 D7]    , [SK S8]   , [C9 C8 C7 SJ S9 S8 H8 DT D9 D7]    , [SK HT]   ,       0,               S,     1,     0,     2,     0,     0,     3,     0,               S,     1,     0,     1,      0,      0,      3,     0,       1,    14,   0.2500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.2500, ------  ,   0.2500,      Null,     13261.30
[CJ CA CK SA ST SQ HA H9 DQ D9]    , [DK D7]   , [CJ DK DQ D9 D7 CA SA ST HA H9]    , [CK SQ]   ,       0,               C,     1,     3,     1,     1,     0,     3,     0,               C,     1,     3,     1,      1,      0,      4,     0,       0,     7,   0.9000,     0.3500,     0.0000,     0.0000,      0.0000,        0.9000,   0.0000, ----D-  ,   0.9000,  Diamonds,     14548.32
[HJ DJ CT CQ SA S9 HT HK H8 DQ]    , [SQ HQ]   , [CT CQ SA SQ S9 HT HK HQ H8 DQ]    , [HJ DJ]   ,       0,              HD,     2,     1,     2,     0,     0,     3,     1,               -,     0,     1,     2,      0,      0,      4,     1,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13717.28
[CJ SJ HJ SA SQ S9 S7 H7 DQ D8]    , [CA H9]   , [CJ SJ HJ SA S9 S7 CA H7 DQ D8]    , [SQ H9]   ,       1,             CSH,     3,     1,     0,     0,     0,     4,     0,             CSH,     3,     2,     0,      0,      0,      3,     0,       0,     3,   1.0000,     0.9000,     0.1000,     1.0000,      1.0000,        0.9500,   0.1000, G-SHD-  ,   1.0000,    Spades,     14767.77
[DJ CA CT CK C9 SK HQ H9 H7 D8]    , [SJ C7]   , [SJ DJ CA CT CK C9 C7 HQ H9 H7]    , [SK D8]   ,       0,               D,     1,     1,     1,     1,     0,     4,     1,              SD,     2,     1,     1,      1,      0,      5,     1,       0,     4,   0.5500,     0.1000,     0.5500,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.5500,     Clubs,     19193.66
[CJ CA CT C9 S8 HK HQ DA DK D8]    , [SJ HA]   , [CJ SJ CA CT S8 HA HQ DA DK D8]    , [C9 HK]   ,       1,               C,     1,     2,     1,     1,     0,     3,     0,              CS,     2,     3,     1,      1,      0,      3,     0,       0,     4,   1.0000,     1.0000,     0.8500,     0.6000,      0.9500,        1.0000,   0.0000, GC-HD-  ,   1.0000,     Grand,     19824.15
