InitHand                           , InitSkat  , FinalHand                          , SkatCards , ISkFull,       JacksMask,  CntJ,  Aces,  Tens, Att10, Blk10, MxLen,   TKS,   PostJacksMask, PCntJ, PAces, PTens, PAtt10, PBlk10, PMxLen,  PTKS, PSkFull, SkPts,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds, ProbNull, WonMask ,  MaxProb,  BestGame,   DurationMs
[SJ HJ DJ C8 SQ S8 S7 H9 DT D8]    , [C9 DQ]   , [SJ HJ DJ DT DQ D8 C9 SQ S8 S7]    , [C8 H9]   ,       0,             SHD,     3,     0,     1,     0,     0,     3,     0,             SHD,     3,     0,     1,      0,      0,      3,     0,       0,     0,   0.4000,     0.0000,     0.0000,     0.3000,      0.0000,        0.4000,   0.2000, ------  ,   0.4000,  Diamonds,     13814.94
[SJ DJ CA CK C9 SQ H9 DT DQ D9]    , [ST HT]   , [CA CK C9 ST SQ HT H9 DT DQ D9]    , [SJ DJ]   ,       2,              SD,     2,     1,     1,     0,     0,     3,     0,               -,     0,     1,     3,      0,      0,      3,     0,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13771.09
[CJ SJ HJ SQ HK H9 H8 DT DQ D7]    , [DK D8]   , [CJ SJ HJ HK H9 H8 DK DQ D8 D7]    , [SQ DT]   ,       0,             CSH,     3,     0,     1,     0,     0,     3,     0,             CSH,     3,     0,     0,      0,      0,      4,     0,       1,    13,   1.0000,     0.7000,     0.0000,     0.0000,      1.0000,        1.0000,   0.0500, G--HD-  ,   1.0000,    Hearts,     17260.11
[CA C8 C7 SQ S9 S8 H8 H7 DK D9]    , [HJ HT]   , [C8 C7 SQ S9 S8 HJ HT H8 H7 D9]    , [CA DK]   ,       1,               -,     0,     1,     0,     0,     0,     3,     0,               H,     1,     0,     1,      0,      0,      3,     0,       1,    15,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13491.48
[CK C9 ST SQ S9 S8 HA HT H7 DA]    , [S7 DQ]   , [ST SQ S9 S8 S7 HA HT H7 DA DQ]    , [CK C9]   ,       0,               -,     0,     2,     2,     1,     0,     4,     0,               -,     0,     2,     2,      1,      0,      5,     0,       0,     4,   0.3000,     0.0000,     0.0000,     0.3000,      0.0000,        0.0000,   0.0000, ------  ,   0.3000,    Spades,     13428.66
[SJ HJ CT CK C8 SK S8 S7 HK DK]    , [HQ DT]   , [CT CK C8 SK S8 S7 HK HQ DT DK]    , [SJ HJ]   ,       1,              SH,     2,     0,     1,     0,     0,     3,     1,               -,     0,     0,     2,      0,      0,      3,     1,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13423.16
[HJ CQ SA ST SK S8 HT H8 DK D8]    , [CA S7]   , [HJ SA ST SK S8 S7 CA HT H8 D8]    , [CQ DK]   ,       1,               H,     1,     1,     2,     1,     0,     4,     1,               H,     1,     2,     2,      1,      0,      5,     1,       0,     7,   0.1500,     0.0000,     0.0000,     0.1500,      0.0000,        0.0000,   0.0500, ------  ,   0.1500,    Spades,     14409.93
[CA C9 SA SK SQ S9 HA HK DQ D8]    , [H7 DT]   , [CA C9 SA SK SQ HA HK DT DQ D8]    , [S9 H7]   ,       1,               -,     0,     3,     0,     0,     0,     4,     0,               -,     0,     3,     1,      0,      0,      3,     0,       0,     0,   0.0500,     0.0500,     0.0000,     0.0000,      0.0000,        0.0500,   0.0000, ------  ,   0.0500,     Grand,     13658.14
[SJ CT CK S9 S8 HA HK H8 DA D9]    , [CA H7]   , [SJ HA HK H8 H7 CA CT CK DA D9]    , [S9 S8]   ,       1,               S,     1,     2,     1,     0,     0,     3,     0,               S,     1,     3,     1,      1,      0,      4,     0,       0,     0,   0.8500,     0.2500,     0.0000,     0.2500,      0.8500,        0.0000,   0.0000, ---H--  ,   0.8500,    Hearts,     14986.66
[CJ HJ C8 C7 S9 S8 HK HQ H7 D9]    , [DJ S7]   , [CJ HJ DJ S9 S8 S7 HK HQ H7 D9]    , [C8 C7]   ,       0,              CH,     2,     0,     0,     0,     0,     3,     0,             CHD,     3,     0,     0,      0,      0,      3,     0,       0,     0,   0.2500,     0.0000,     0.0000,     0.2500,      0.2000,        0.0000,   0.1500, ------  ,   0.2500,    Spades,     13359.38
[HJ DJ CK CQ C9 C8 HT H9 DQ D7]    , [CA H7]   , [HJ DJ CA CK CQ C9 C8 HT H9 H7]    , [DQ D7]   ,       1,              HD,     2,     0,     1,     0,     0,     4,     0,              HD,     2,     1,     1,      0,      0,      5,     0,       0,     3,   0.6000,     0.0500,     0.6000,     0.0000,      0.0000,        0.0000,   0.2500, ------  ,   0.6000,     Clubs,     19516.36
[CJ CA C9 C7 SQ HK HQ H9 DK DQ]    , [C8 ST]   , [C9 C8 C7 ST SQ HK HQ H9 DK DQ]    , [CJ CA]   ,       1,               C,     1,     1,     0,     0,     0,     3,     0,               -,     0,     0,     1,      0,      0,      3,     0,       1,    13,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13297.55
[CJ CK C9 SK S9 HA HK H8 H7 DA]    , [DJ DK]   , [CJ DJ C9 SK HA HK H8 H7 DA DK]    , [CK S9]   ,       0,               C,     1,     2,     0,     0,     0,     4,     0,              CD,     2,     2,     0,      0,      0,      4,     0,       0,     4,   0.4000,     0.4000,     0.0500,     0.1500,      0.1500,        0.0000,   0.0000, ------  ,   0.4000,     Grand,     17120.86
[DJ CA CT CQ C8 ST HK HQ DQ D9]    , [SA HT]   , [DJ CA CT CQ C8 SA ST HT HK HQ]    , [DQ D9]   ,       2,               D,     1,     1,     2,     1,     1,     4,     0,               D,     1,     2,     3,      2,      0,      4,     0,       0,     3,   0.5500,     0.0500,     0.5500,     0.0000,      0.0500,        0.0000,   0.0000, ------  ,   0.5500,     Clubs,     13630.14
[HJ CK CQ C8 C7 S8 H7 DA DQ D8]    , [C9 SK]   , [CK CQ C9 C8 C7 SK S8 HJ H7 D8]    , [DA DQ]   ,       0,               H,     1,     1,     0,     0,     0,     4,     0,               H,     1,     0,     0,      0,      0,      5,     0,       1,    14,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13691.35
[CJ SJ CQ C8 S8 HT HK H8 H7 D9]    , [C7 DT]   , [CQ CJ C8 C7 S8 HK HT H8 H7 DT]    , [SJ D9]   ,       1,              CS,     2,     0,     1,     0,     0,     4,     1,               C,     1,     0,     2,      0,      1,      4,     1,       0,     2,   0.4000,     0.0000,     0.3000,     0.0000,      0.0500,        0.0000,   0.4000, ------  ,   0.4000,      Null,     14412.88
[HJ DJ C8 SK S7 HA HT H8 H7 DT]    , [C7 DA]   , [HJ DJ C8 C7 SK HA HT H8 DA DT]    , [S7 H7]   ,       1,              HD,     2,     1,     2,     1,     1,     4,     0,              HD,     2,     2,     2,      2,      0,      3,     0,       0,     0,   0.7000,     0.7000,     0.0000,     0.0500,      0.7000,        0.0000,   0.0500, G--H--  ,   0.7000,     Grand,     13793.06
[DJ CA CK SQ S7 HA HT HK HQ D7]    , [C9 DA]   , [DJ HA HT HK HQ CA CK C9 DA D7]    , [SQ S7]   ,       1,               D,     1,     2,     1,     1,     0,     4,     0,               D,     1,     3,     1,      1,      0,      4,     0,       0,     3,   0.3500,     0.0500,     0.0000,     0.0000,      0.3500,        0.0000,   0.0000, ------  ,   0.3500,    Hearts,     14240.66
[CJ SJ DJ C8 ST S8 HK H8 DK D9]    , [S9 DT]   , [CJ SJ DJ ST S9 S8 C8 DT DK D9]    , [HK H8]   ,       1,             CSD,     3,     0,     1,     0,     0,     2,     0,             CSD,     3,     0,     2,      0,      0,      3,     1,       0,     4,   0.8000,     0.0500,     0.0000,     0.8000,      0.1000,        0.5000,   0.1000, --S---  ,   0.8000,    Spades,     15839.72
[CJ SJ SA SK S8 HT HK DT DK D7]    , [HJ CT]   , [CJ SJ HJ DT DK D7 CT SA HT HK]    , [SK S8]   ,       1,              CS,     2,     1,     2,     0,     0,     3,     1,             CSH,     3,     1,     3,      0,      1,      3,     1,       0,     4,   0.8500,     0.1500,     0.2000,     0.6000,      0.6500,        0.8500,   0.0000, ----D-  ,   0.8500,  Diamonds,     15205.46
[CJ CT CQ SA SK S7 H9 DA D9 D8]    , [HJ S9]   , [CJ HJ SA SK S9 S7 CQ DA D9 D8]    , [CT H9]   ,       0,               C,     1,     2,     1,     0,     0,     3,     0,              CH,     2,     2,     0,      0,      0,      4,     0,       1,    10,   0.5500,     0.4000,     0.4000,     0.5500,      0.0500,        0.3500,   0.0000, ------  ,   0.5500,    Spades,     24225.66
[HJ CQ C8 C7 SA ST HT HQ H9 DA]    , [SK DQ]   , [HJ C8 C7 SA ST SK HT H9 DA DQ]    , [CQ HQ]   ,       0,               H,     1,     2,     2,     1,     0,     3,     0,               H,     1,     2,     2,      1,      0,      3,     0,       0,     6,   0.0500,     0.0500,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0500,     Grand,     13259.39
[SJ CA SQ S8 HT HQ DA DK D8 D7]    , [SK HK]   , [SJ HT HK HQ CA S8 DA DK D8 D7]    , [SK SQ]   ,       0,               S,     1,     2,     1,     0,     0,     4,     0,               S,     1,     2,     1,      0,      0,      4,     0,       0,     7,   0.0500,     0.0000,     0.0000,     0.0000,      0.0500,        0.0000,   0.0000, ------  ,   0.0500,    Hearts,     13426.82
[HJ DJ CQ C8 C7 HA HT HK HQ D7]    , [ST D8]   , [CQ C8 ST HA HQ HJ HT DJ D8 D7]    , [C7 HK]   ,       1,              HD,     2,     1,     1,     1,     0,     4,     0,              HD,     2,     1,     2,      1,      1,      3,     0,       0,     4,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13453.85
[CJ HJ CT CK C9 HT HK H8 D9 D8]    , [SA DK]   , [CJ HJ CT CK C9 SA HT HK H8 D8]    , [DK D9]   ,       1,              CH,     2,     0,     2,     0,     0,     3,     2,              CH,     2,     1,     2,      0,      0,      3,     2,       0,     4,   0.2000,     0.1500,     0.2000,     0.0000,      0.1500,        0.0000,   0.0000, ------  ,   0.2000,     Clubs,     14219.41
[CK CQ C8 ST S9 S8 HK HQ DT DK]    , [SJ SA]   , [CQ C8 SA ST S9 S8 HK HQ DT DK]    , [SJ CK]   ,       1,               -,     0,     0,     2,     0,     0,     3,     0,               -,     0,     1,     2,      1,      0,      4,     0,       0,     6,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13368.23
[CT CQ C9 SQ S9 S8 HT HK HQ D8]    , [D9 D7]   , [C9 SQ S9 S8 HT HK HQ D9 D8 D7]    , [CT CQ]   ,       0,               -,     0,     0,     2,     0,     0,     3,     0,               -,     0,     0,     1,      0,      0,      3,     0,       1,    13,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13376.58
[HJ CK C9 C8 C7 S7 HA HQ DT D8]    , [DA D7]   , [HJ CK C9 C8 C7 HA DA DT D8 D7]    , [S7 HQ]   ,       1,               H,     1,     1,     1,     0,     0,     4,     0,               H,     1,     2,     1,      1,      0,      4,     0,       0,     3,   0.5000,     0.0000,     0.5000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.5000,     Clubs,     15139.58
[SJ DJ CA CT C8 C7 ST SK S9 HT]    , [H9 DT]   , [SJ DJ CA CT C8 C7 ST SK S9 DT]    , [HT H9]   ,       1,              SD,     2,     1,     3,     1,     1,     4,     1,              SD,     2,     1,     3,      1,      1,      4,     1,       1,    10,   0.0500,     0.0000,     0.0500,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0500,     Clubs,     14097.13
[CT CQ C9 SA S9 HT H8 H7 D9 D8]    , [HJ H9]   , [CT C9 S9 HJ HT H9 H8 H7 D9 D8]    , [CQ SA]   ,       0,               -,     0,     1,     2,     0,     0,     3,     0,               H,     1,     0,     2,      0,      0,      4,     0,       1,    14,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13880.57
[DJ CA C9 C7 SA SQ S8 HT DQ D9]    , [CT CQ]   , [DJ CA CT CQ C9 C7 SA SQ S8 HT]    , [DQ D9]   ,       1,               D,     1,     2,     1,     0,     1,     3,     0,               D,     1,     2,     2,      1,      1,      5,     0,       0,     3,   0.1500,     0.0000,     0.1500,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.1500,     Clubs,     14100.82
[SJ CK C8 ST SK S9 HQ DQ D9 D7]    , [CA SA]   , [SJ SA ST SK S9 CA CK DQ D9 D7]    , [C8 HQ]   ,       2,               S,     1,     0,     1,     0,     0,     3,     1,               S,     1,     2,     1,      1,      0,      4,     1,       0,     3,   0.0500,     0.0000,     0.0000,     0.0500,      0.0000,        0.0000,   0.0000, ------  ,   0.0500,    Spades,     13918.40
[DJ CT CK C9 HA HQ H9 H8 D9 D7]    , [ST S9]   , [CT ST S9 HA HQ H9 H8 DJ D9 D7]    , [CK C9]   ,       1,               D,     1,     1,     1,     0,     0,     4,     1,               D,     1,     1,     2,      0,      1,      4,     0,       0,     4,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13279.33
[HJ CT C7 SA SQ S8 HA HQ DT D8]    , [CQ DQ]   , [CQ C7 SA SQ S8 HA HQ DT DQ D8]    , [HJ CT]   ,       0,               H,     1,     2,     2,     0,     0,     3,     0,               -,     0,     2,     1,      0,      0,      3,     0,       1,    12,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13621.40
[CA CQ SK S8 HA HT H7 DK DQ D7]    , [HJ D9]   , [HJ DK DQ D9 D7 CA S8 HA HT H7]    , [CQ SK]   ,       0,               -,     0,     2,     1,     1,     0,     3,     0,               H,     1,     2,     1,      1,      0,      4,     0,       0,     7,   0.2000,     0.0000,     0.0000,     0.0000,      0.0000,        0.2000,   0.0000, ------  ,   0.2000,  Diamonds,     13941.13
[SJ CT CQ SA S7 HA H9 H8 DT D7]    , [SQ DA]   , [SJ CT SA SQ S7 HA H9 H8 DA DT]    , [CQ D7]   ,       1,               S,     1,     2,     2,     0,     0,     3,     0,               S,     1,     3,     2,      1,      1,      3,     0,       0,     3,   0.3500,     0.2500,     0.3500,     0.1000,      0.1500,        0.0000,   0.0000, ------  ,   0.3500,     Clubs,     14182.62
[CJ CK C7 SQ S7 HT HQ H7 DT D7]    , [SA S9]   , [C7 SA SQ S9 S7 HQ HT H7 DT D7]    , [CK CJ]   ,       1,               C,     1,     0,     2,     0,     0,     3,     0,               -,     0,     1,     2,      0,      0,      4,     0,       0,     6,   0.2000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.2000, ------  ,   0.2000,      Null,     13389.05
[SJ HJ CQ SA S9 HA HK HQ H9 DT]    , [SK D8]   , [SJ HJ HA HK HQ H9 SA SK DT D8]    , [CQ S9]   ,       0,              SH,     2,     2,     1,     0,     1,     4,     0,              SH,     2,     2,     1,      0,      0,      4,     0,       0,     3,   0.4500,     0.2500,     0.0000,     0.4000,      0.4500,        0.2500,   0.0500, ------  ,   0.4500,    Hearts,     18673.20
[CJ SJ CK C9 ST SK S7 HQ H9 DT]    , [CT C8]   , [CJ SJ CT CK C9 C8 ST SK S7 DT]    , [HQ H9]   ,       1,              CS,     2,     0,     2,     0,     1,     3,     1,              CS,     2,     0,     3,      0,      1,      4,     2,       0,     3,   0.4000,     0.0000,     0.4000,     0.2000,      0.0000,        0.0000,   0.1000, ------  ,   0.4000,     Clubs,     13271.45
[CJ SJ DJ CK C8 C7 SA S8 S7 H9]    , [HA H8]   , [CJ SJ DJ CK C7 SA S7 HA H9 H8]    , [C8 S8]   ,       1,             CSD,     3,     1,     0,     0,     0,     3,     0,             CSD,     3,     2,     0,      0,      0,      3,     0,       0,     0,   1.0000,     0.6000,     1.0000,     0.9500,      0.9500,        0.0500,   0.5500, -CSH--  ,   1.0000,     Clubs,     19041.81
[CJ CA CT CK CQ H9 H8 DA DK D8]    , [C9 ST]   , [CJ CA CT CK CQ C9 H9 DA DK D8]    , [ST H8]   ,       1,               C,     1,     2,     1,     1,     0,     4,     0,               C,     1,     2,     1,      1,      0,      5,     1,       1,    10,   0.6000,     0.0000,     0.6000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.6000,     Clubs,     14956.32
[SA SQ S8 HT HQ H8 DA D9 D8 D7]    , [CT S9]   , [SA SQ S9 S8 HT H8 DA D9 D8 D7]    , [CT HQ]   ,       1,               -,     0,     2,     1,     0,     0,     4,     0,               -,     0,     2,     1,      0,      0,      4,     0,       1,    13,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13312.04
[CJ SJ HJ DJ CQ S8 HQ DA DQ D8]    , [DT DK]   , [SJ HJ DJ S8 HQ DA DT DK DQ D8]    , [CJ CQ]   ,       1,            CSHD,     4,     1,     0,     0,     0,     3,     0,             SHD,     3,     1,     1,      1,      0,      5,     1,       0,     5,   1.0000,     1.0000,     1.0000,     1.0000,      1.0000,        1.0000,   0.0500, GCSHD-  ,   1.0000,     Grand,     14365.75
[SJ CT C9 C7 S9 HT HQ H9 D9 D8]    , [DJ C8]   , [CT C9 C8 C7 SJ S9 HQ HT DJ D8]    , [H9 D9]   ,       0,               S,     1,     0,     2,     0,     0,     3,     0,              SD,     2,     0,     2,      0,      0,      4,     0,       0,     0,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1000, ------  ,   0.1000,      Null,     13968.25
[SJ HJ DJ CA SA S9 HK HQ DA D8]    , [C9 H7]   , [SJ HJ DJ HQ H7 CA C9 SA DA D8]    , [HK S9]   ,       0,             SHD,     3,     3,     0,     0,     0,     2,     0,             SHD,     3,     3,     0,      0,      0,      2,     0,       0,     4,   1.0000,     0.7000,     0.8000,     0.9000,      1.0000,        0.9000,   0.0000, GCSHD-  ,   1.0000,    Hearts,     17536.85
[SJ HJ CQ C7 ST SQ S8 S7 HT DA]    , [CA DQ]   , [SJ HJ ST SQ S8 S7 CA CQ C7 DA]    , [HT DQ]   ,       1,              SH,     2,     1,     2,     0,     1,     4,     0,              SH,     2,     2,     1,      0,      0,      4,     0,       1,    13,   0.5500,     0.1000,     0.0500,     0.5500,      0.0000,        0.0000,   0.0000, ------  ,   0.5500,    Spades,     16842.79
[HJ CK C9 C8 ST HT DA DK DQ D8]    , [SK S7]   , [C9 C8 ST SK S7 HT DA DK DQ D8]    , [HJ CK]   ,       0,               H,     1,     1,     2,     0,     2,     4,     0,               -,     0,     1,     2,      0,      1,      4,     1,       0,     6,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13322.90
[CJ SJ CA CQ C7 SA SK HA HK DQ]    , [S9 HQ]   , [CJ SJ SA SK S9 CA CQ HA HK HQ]    , [C7 DQ]   ,       0,              CS,     2,     3,     0,     0,     0,     3,     0,              CS,     2,     3,     0,      0,      0,      3,     0,       0,     3,   0.8500,     0.7500,     0.8000,     0.8500,      0.7500,        0.3000,   0.0000, GCSH--  ,   0.8500,    Spades,     18512.16
[CT CK C9 SA ST S7 HK H7 DT D9]    , [CJ CA]   , [CJ CA CT CK C9 SA ST S7 DT D9]    , [HK H7]   ,       1,               -,     0,     1,     3,     1,     0,     3,     1,               C,     1,     2,     3,      2,      0,      4,     1,       0,     4,   0.4000,     0.1500,     0.4000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.4000,     Clubs,     13806.76
[SJ CT CQ C8 SA HT HQ H9 DA D9]    , [SK S7]   , [CQ C8 SA SK S7 HT HQ H9 DA D9]    , [SJ CT]   ,       0,               S,     1,     2,     2,     0,     0,     3,     0,               -,     0,     2,     1,      0,      0,      3,     0,       1,    12,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13514.18
[CQ C7 ST SQ S9 S7 HT HK DA D7]    , [SA D9]   , [CQ C7 SA SQ ST S9 S7 HT D9 D7]    , [HK DA]   ,       1,               -,     0,     1,     2,     0,     0,     4,     0,               -,     0,     1,     2,      1,      1,      5,     0,       1,    15,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.1500,      Null,     13289.45
[CJ CA C8 C7 S7 HQ H8 H7 DT DQ]    , [DK D9]   , [CA CJ C8 C7 S7 H8 DK DQ DT D9]    , [HQ H7]   ,       0,               C,     1,     1,     1,     0,     0,     3,     0,               C,     1,     1,     1,      0,      0,      4,     1,       0,     3,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.1000,   0.1000, ------  ,   0.1000,      Null,     13297.49
[HJ C8 C7 ST SK S9 S8 S7 DT DQ]    , [H9 D9]   , [C8 C7 SK ST S9 S8 S7 HJ H9 D9]    , [DQ DT]   ,       0,               H,     1,     0,     2,     0,     0,     5,     1,               H,     1,     0,     1,      0,      0,      5,     1,       1,    13,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.1500,      Null,     13374.44
[SJ DJ CA S9 HT HQ H8 H7 DK D7]    , [CK C7]   , [SJ DJ HT HQ H8 H7 CA CK C7 D7]    , [S9 DK]   ,       0,              SD,     2,     1,     1,     0,     0,     4,     0,              SD,     2,     1,     1,      0,      0,      4,     0,       0,     4,   0.3500,     0.0000,     0.0000,     0.0000,      0.3500,        0.0000,   0.0500, ------  ,   0.3500,    Hearts,     15588.54
[HJ DJ CA CK C9 S9 S7 H9 DK DQ]    , [HA D8]   , [HJ DJ DK DQ D8 CA CK C9 HA H9]    , [S9 S7]   ,       1,              HD,     2,     1,     0,     0,     0,     3,     0,              HD,     2,     2,     0,      0,      0,      3,     0,       0,     0,   0.1000,     0.0000,     0.0000,     0.0000,      0.0000,        0.1000,   0.0500, ------  ,   0.1000,  Diamonds,     16408.28
[CT CK CQ C8 SK S7 HT HQ H9 DQ]    , [S9 S8]   , [CQ CT C8 SK S9 S8 S7 HQ HT H9]    , [CK DQ]   ,       0,               -,     0,     0,     2,     0,     0,     4,     1,               -,     0,     0,     2,      0,      0,      4,     0,       0,     7,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13307.11
[SJ CK CQ C9 C8 S9 S7 HK HQ H8]    , [SA D7]   , [CK CQ C9 C8 SA SJ S9 S7 H8 D7]    , [HK HQ]   ,       1,               S,     1,     0,     0,     0,     0,     4,     0,               S,     1,     1,     0,      0,      0,      4,     0,       0,     7,   0.2000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.2000, ------  ,   0.2000,      Null,     13294.55
[SJ HJ DJ CK C8 SA S9 S7 HK HQ]    , [C7 H9]   , [SJ HJ DJ CK C8 C7 SA HK HQ H9]    , [S9 S7]   ,       0,             SHD,     3,     1,     0,     0,     0,     3,     0,             SHD,     3,     1,     0,      0,      0,      3,     0,       0,     0,   0.6000,     0.0000,     0.6000,     0.1500,      0.5500,        0.0000,   0.1000, ------  ,   0.6000,     Clubs,     14833.49
[DJ CK C7 S8 S7 HA HK HQ DT D8]    , [CA CQ]   , [CK CQ C7 S8 S7 HA HK HQ DT D8]    , [DJ CA]   ,       1,               D,     1,     1,     1,     0,     0,     3,     0,               -,     0,     1,     1,      0,      0,      3,     0,       1,    13,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13394.54
[HJ CT C9 ST SK HK HQ H9 DA DT]    , [DJ SA]   , [HJ DJ HK HQ H9 SA ST SK DA DT]    , [CT C9]   ,       1,               H,     1,     1,     3,     1,     0,     3,     0,              HD,     2,     2,     2,      2,      0,      3,     0,       1,    10,   0.7500,     0.4500,     0.3500,     0.3000,      0.7500,        0.0000,   0.0000, ---H--  ,   0.7500,    Hearts,     13452.72
[CJ CT CQ HA HT H9 DA D9 D8 D7]    , [SA S8]   , [CJ CT CQ SA S8 HA HT H9 DA D8]    , [D9 D7]   ,       1,               C,     1,     2,     2,     1,     0,     4,     0,               C,     1,     3,     2,      1,      0,      3,     0,       0,     0,   0.7000,     0.7000,     0.5500,     0.1500,      0.1000,        0.7000,   0.0000, G---D-  ,   0.7000,     Grand,     14163.49
[DJ CA CQ C9 SK S8 S7 HA DT D8]    , [CJ SQ]   , [CJ DJ SK SQ S8 S7 CA CQ C9 HA]    , [DT D8]   ,       0,               D,     1,     2,     1,     0,     0,     3,     0,              CD,     2,     2,     0,      0,      0,      4,     0,       1,    10,   0.7500,     0.1000,     0.0000,     0.7500,      0.0000,        0.0000,   0.0500, --S---  ,   0.7500,    Spades,     15897.14
[CT C9 C8 C7 SQ S7 HA HK DQ D8]    , [S9 DK]   , [C8 C7 SQ S9 S7 HA HK DK DQ D8]    , [CT C9]   ,       0,               -,     0,     1,     1,     0,     0,     4,     0,               -,     0,     1,     0,      0,      0,      3,     0,       1,    10,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13296.57
[CJ CT CK C9 SA ST SK SQ H8 H7]    , [CA D8]   , [CJ CA CT CK C9 SA ST SK SQ H7]    , [H8 D8]   ,       1,               C,     1,     1,     2,     1,     0,     4,     1,               C,     1,     2,     2,      2,      0,      4,     1,       0,     0,   0.9500,     0.1000,     0.9500,     0.9500,      0.0000,        0.0000,   0.0000, -CS---  ,   0.9500,     Clubs,     14922.59
[CT CK C7 ST SQ S7 HQ H7 DA DT]    , [HJ DJ]   , [HJ DJ ST SQ S7 CT CK C7 DA DT]    , [HQ H7]   ,       0,               -,     0,     1,     3,     1,     0,     3,     1,              HD,     2,     1,     3,      1,      0,      3,     1,       0,     3,   0.2500,     0.0000,     0.0500,     0.2500,      0.0000,        0.0000,   0.0000, ------  ,   0.2500,    Spades,     14545.00
[SJ DJ SQ S9 HK HQ H7 DA D9 D8]    , [CQ H9]   , [SJ DJ HK HQ H9 H7 CQ DA D9 D8]    , [SQ S9]   ,       0,              SD,     2,     1,     0,     0,     0,     3,     0,              SD,     2,     1,     0,      0,      0,      4,     0,       0,     3,   0.1000,     0.0000,     0.0000,     0.0000,      0.1000,        0.0000,   0.0500, ------  ,   0.1000,    Hearts,     13941.68
[CA CQ C9 S9 S8 H8 DA DK DQ D9]    , [CT C7]   , [CA CT CQ C9 C7 H8 DA DK DQ D9]    , [S9 S8]   ,       1,               -,     0,     2,     0,     0,     0,     4,     0,               -,     0,     2,     1,      1,      0,      5,     0,       0,     0,   0.1000,     0.0000,     0.1000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.1000,     Clubs,     14442.92
[DJ CA CK C8 SA SK S8 H8 DQ D7]    , [C7 D9]   , [CA CK C8 C7 S8 H8 DQ DJ D9 D7]    , [SA SK]   ,       0,               D,     1,     2,     0,     0,     0,     3,     0,               D,     1,     1,     0,      0,      0,      4,     0,       1,    15,   0.4500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.4500, ------  ,   0.4500,      Null,     13672.41
