Hand                               , Skat      ,       JacksMask,  CntJ,  Aces,  Tens, Att10, MxLen,   TKS,   BestGame,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds,     ProbNull, WonMask ,   DurationMs
[HK H8 CA CQ SA ST S9 DA D9 D7]    , -         ,               -,     0,     3,     1,     1,     3,     0,     Hearts,   0.2000,     0.1500,     0.0500,     0.0000,      0.2000,        0.0000,       0.0000, ------  ,      9401.42
[CJ SJ SK S7 CT HA H9 H7 DA D8]    , -         ,              CS,     2,     2,     1,     0,     3,     0,     Spades,   0.1500,     0.0500,     0.0000,     0.1500,      0.1500,        0.0500,       0.0000, ------  ,      8763.01
[SJ CT CQ C9 C8 SQ S8 HK HQ D7]    , -         ,               S,     1,     0,     1,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     23616.37
[DJ CT CQ C9 SA ST SQ HK H7 D7]    , -         ,               D,     1,     1,     2,     1,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     25046.83
[CJ DJ CK ST SQ HT H7 DT DK D9]    , -         ,              CD,     2,     0,     3,     0,     3,     1,      Grand,   0.1000,     0.1000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     34888.22
[HJ C8 SQ S9 S7 HA H8 DA DK D7]    , -         ,               H,     1,     2,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     53167.23
[SJ CT C9 SA SK HQ H7 DA DT D7]    , -         ,               S,     1,     2,     2,     1,     3,     0,      Grand,   0.1000,     0.1000,     0.0000,     0.0000,      0.0500,        0.0000,       0.0000, ------  ,     25028.19
[DJ CA C7 ST SK S7 HQ H9 H8 DK]    , -         ,               D,     1,     1,     1,     0,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     15391.46
[CT CK C8 SA ST H9 H8 H7 DT D8]    , -         ,               -,     0,     1,     3,     1,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      2432.68
[CK CQ C7 S8 S7 H9 DT D9 D8 D7]    , -         ,               -,     0,     0,     1,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      1998.57
[CJ SJ DJ DK DQ D8 S8 HT HQ H7]    , -         ,             CSD,     3,     0,     1,     0,     3,     0,   Diamonds,   0.8500,     0.0000,     0.0000,     0.0000,      0.7500,        0.8500,       0.0000, ---HD-  ,     56370.64
[CQ C7 SK SQ S8 S7 CJ D9 D8 D7]    , -         ,               C,     1,     0,     0,     0,     4,     0,       Null,   0.3500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.3500, ------  ,     15361.27
[C9 S9 S7 H9 H7 DA DK CJ D8 D7]    , -         ,               C,     1,     1,     0,     0,     4,     0,       Null,   0.2000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.2000, ------  ,     19868.66
[CA C9 C8 C7 SA S8 H7 DT D9 D8]    , -         ,               -,     0,     2,     1,     0,     4,     0,      Grand,   0.0500,     0.0500,     0.0000,     0.0000,      0.0500,        0.0000,       0.0000, ------  ,      6878.39
[SJ CK C9 C8 SA ST SQ HA H8 H7]    , -         ,               S,     1,     2,     1,     1,     3,     0,      Clubs,   0.1500,     0.0000,     0.1500,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     40938.28
[SJ DJ HT H9 H8 C7 SA S8 DA D7]    , -         ,              SD,     2,     2,     1,     0,     3,     0,     Hearts,   0.3000,     0.1000,     0.0500,     0.0500,      0.3000,        0.0500,       0.0000, ------  ,     50537.46
[CK CQ C9 C7 SK SQ HA HK H9 D7]    , -         ,               -,     0,     1,     0,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      2024.43
[CJ CQ C8 C7 SK HA H9 DK D9 D7]    , -         ,               C,     1,     1,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      9371.25
[SJ C7 ST SK SQ S8 HT HQ H9 DK]    , -         ,               S,     1,     0,     2,     0,     4,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     61724.59
[CJ HJ DJ SK S9 S8 CK CQ H9 D8]    , -         ,             CHD,     3,     0,     0,     0,     3,     0,     Spades,   0.1000,     0.0000,     0.0000,     0.1000,      0.0000,        0.0000,       0.0000, ------  ,     37998.93
